full_name,team,role,matches_played,innings_batted,runs,balls_faced,batting_average,strike_rate,fifties,hundreds,fours,sixes,highest_score,wickets,balls_bowled,runs_conceded,bowling_average,economy,catches,stumpings,run_outs,confidence
Aryan Dutt,Netherlands,Bowler,14.0,2.0,114.0,117.0,57.0,97.44,0.0,0.0,7.0,3.0,30.0,26.0,521.0,597.0,22.96153846153846,6.88,2.0,0.0,0.0,75.0
John Turner,England,Batter,14.0,2.0,110.0,133.0,55.0,82.71,0.0,0.0,4.0,2.0,24.0,4.0,83.0,83.0,20.75,6.0,7.0,0.0,0.0,80.0
Gerald Coetzee,South Africa,Bowler,12.0,2.0,110.0,86.0,55.0,127.91,0.0,0.0,8.0,6.0,23.0,14.0,294.0,462.0,33.0,9.43,2.0,0.0,0.0,78.26086956521739
Haris Rauf,Pakistan,Bowler,28.0,2.0,109.0,111.0,54.5,98.2,0.0,0.0,8.0,5.0,13.0,138.0,1983.0,2734.0,19.81159420289855,8.27,25.0,0.0,0.0,100.0
Riyan Parag,India,Batter,6.0,2.0,106.0,72.0,53.0,147.22,0.0,0.0,3.0,9.0,34.0,5.0,75.0,83.0,16.6,6.64,7.0,0.0,0.0,77.77777777777779
Keshav Maharaj,South Africa,Bowler,15.0,2.0,103.0,117.0,51.5,88.03,0.0,0.0,6.0,5.0,41.0,41.0,814.0,985.0,24.024390243902438,7.26,13.0,0.0,0.0,75.0
Logan van Beek,Netherlands,Bowler,20.0,2.0,102.0,129.0,51.0,79.07,0.0,0.0,3.0,1.0,23.0,41.0,583.0,717.0,17.48780487804878,7.38,17.0,0.0,0.0,80.0
Kaleemullah,Oman,Bowler,19.0,2.0,99.0,105.0,49.5,94.29,0.0,0.0,3.0,6.0,14.0,36.0,753.0,894.0,24.833333333333332,7.12,4.0,0.0,0.0,100.0
Usman Tariq,Pakistan,Bowler,12.0,2.0,99.0,104.0,49.5,95.19,0.0,0.0,9.0,1.0,32.0,47.0,537.0,658.0,14.0,7.35,19.0,0.0,3.0,81.81818181818181
Nasum Ahmed,Bangladesh,Bowler,18.0,2.0,97.0,99.0,48.5,97.98,0.0,0.0,9.0,3.0,20.0,38.0,734.0,910.0,23.94736842105263,7.44,6.0,0.0,0.0,100.0
Faraz Akram,Zimbabwe,Batter,7.0,2.0,91.0,67.0,45.5,135.82,0.0,0.0,4.0,6.0,34.0,2.0,126.0,198.0,99.0,9.43,1.0,0.0,0.0,91.66666666666666
Nitish Kumar,United States of America,Batter,3.0,2.0,90.0,52.0,45.0,173.08,1.0,0.0,4.0,8.0,74.0,3.0,55.0,76.0,25.333333333333332,8.29,2.0,0.0,0.0,77.41935483870968
Nitish Kumar Reddy,India,Batter,3.0,2.0,90.0,52.0,45.0,173.08,1.0,0.0,4.0,8.0,74.0,3.0,55.0,76.0,25.333333333333332,8.29,2.0,0.0,0.0,97.2972972972973
Mustafizur Rahman,Bangladesh,Bowler,31.0,2.0,89.0,134.0,44.5,66.42,0.0,0.0,4.0,4.0,11.0,159.0,2556.0,3030.0,19.056603773584907,7.11,23.0,0.0,0.0,100.0
Abdul Samad,Pakistan,Bowler,8.0,2.0,84.0,88.0,42.0,95.45,0.0,0.0,5.0,3.0,44.0,11.0,157.0,119.0,10.818181818181818,4.55,2.0,0.0,0.0,100.0
Tayyab Tahir,Pakistan,Batter,4.0,2.0,84.0,66.0,42.0,127.27,0.0,0.0,7.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,100.0
AF Milne,New Zealand,Bowler,19.0,2.0,83.0,89.0,41.5,93.26,0.0,0.0,1.0,6.0,16.0,67.0,1185.0,1620.0,24.17910447761194,8.2,12.0,0.0,3.0,100.0
Jofra Archer,England,Bowler,12.0,2.0,82.0,67.0,41.0,122.39,0.0,0.0,6.0,4.0,21.0,49.0,799.0,1044.0,21.306122448979593,7.84,12.0,0.0,0.0,76.19047619047619
Richard Ngarava,Zimbabwe,Bowler,25.0,2.0,82.0,72.0,41.0,113.89,0.0,0.0,9.0,3.0,12.0,100.0,1674.0,1940.0,19.4,6.95,13.0,0.0,1.0,75.0
Maheesh Theekshana,Sri Lanka,Bowler,27.0,2.0,82.0,134.0,41.0,61.19,0.0,0.0,4.0,2.0,14.0,69.0,1466.0,1687.0,24.44927536231884,6.9,12.0,0.0,0.0,80.0
Luke Wood,England,Batter,5.0,2.0,82.0,79.0,41.0,103.8,0.0,0.0,4.0,6.0,37.0,3.0,102.0,104.0,34.666666666666664,6.12,5.0,0.0,0.0,84.21052631578947
Jewel Andrew,West Indies,Batter,5.0,1.0,78.0,82.0,78.0,95.12,0.0,0.0,5.0,4.0,35.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,80.0
Sandeep Lamichhane,Nepal,Bowler,19.0,2.0,71.0,76.0,35.5,93.42,0.0,0.0,3.0,2.0,16.0,129.0,1525.0,1557.0,12.069767441860465,6.13,20.0,0.0,0.0,80.0
Arshdeep Singh,India,Bowler,20.0,2.0,70.0,66.0,35.0,106.06,0.0,0.0,6.0,3.0,12.0,106.0,1387.0,1879.0,17.72641509433962,8.13,15.0,0.0,0.0,100.0
Obed McCoy,West Indies,Bowler,14.0,2.0,68.0,68.0,34.0,100.0,0.0,0.0,7.0,4.0,23.0,52.0,861.0,1225.0,23.557692307692307,8.54,3.0,0.0,0.0,77.77777777777779
Alei Nao,Papua New Guinea,Bowler,8.0,2.0,67.0,56.0,33.5,119.64,0.0,0.0,5.0,3.0,30.0,25.0,385.0,373.0,14.92,5.81,3.0,0.0,1.0,76.92307692307692
Omair Yousuf,Pakistan,Batter,6.0,2.0,67.0,66.0,33.5,101.52,0.0,0.0,6.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,100.0
Shariz Ahmad,Netherlands,Batter,7.0,2.0,65.0,67.0,32.5,97.01,0.0,0.0,5.0,0.0,16.0,8.0,171.0,227.0,28.375,7.96,1.0,0.0,0.0,100.0
Bevon Jacobs,New Zealand,Batter,3.0,1.0,64.0,60.0,64.0,106.67,0.0,0.0,2.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,76.19047619047619
Bilal Hassan,Uganda,Bowler,13.0,2.0,64.0,65.0,32.0,98.46,0.0,0.0,6.0,2.0,20.0,54.0,734.0,838.0,15.518518518518519,6.85,5.0,0.0,1.0,91.66666666666666
Kyle Jamieson,New Zealand,Bowler,7.0,2.0,63.0,48.0,31.5,131.25,0.0,0.0,8.0,0.0,30.0,21.0,498.0,732.0,34.857142857142854,8.82,5.0,0.0,0.0,83.33333333333334
Jack Jarvis,Scotland,Bowler,7.0,1.0,60.0,68.0,60.0,88.24,0.0,0.0,4.0,1.0,21.0,12.0,141.0,194.0,16.166666666666668,8.26,1.0,0.0,0.0,84.21052631578947
Kusal Perera,Sri Lanka,Batter,5.0,2.0,59.0,68.0,29.5,86.76,0.0,0.0,5.0,1.0,16.0,0.0,6.0,17.0,0.0,17.0,1.0,0.0,0.0,76.19047619047619
Adam Zampa,Australia,Bowler,22.0,2.0,59.0,75.0,29.5,78.67,0.0,0.0,6.0,0.0,13.0,132.0,2305.0,2846.0,21.560606060606062,7.41,15.0,0.0,0.0,82.35294117647058
Shoriful Islam,Bangladesh,Bowler,15.0,2.0,58.0,53.0,29.0,109.43,0.0,0.0,5.0,3.0,16.0,60.0,1055.0,1402.0,23.366666666666667,7.97,9.0,0.0,3.0,100.0
Liam Dawson,England,Bowler,5.0,2.0,57.0,37.0,28.5,154.05,0.0,0.0,8.0,2.0,34.0,19.0,369.0,477.0,25.105263157894736,7.76,3.0,0.0,0.0,80.0
Rehan Ahmed,England,Bowler,8.0,2.0,55.0,46.0,27.5,119.57,0.0,0.0,5.0,3.0,11.0,15.0,211.0,333.0,22.2,9.47,1.0,0.0,0.0,100.0
Ravi Bishnoi,India,Bowler,12.0,2.0,55.0,44.0,27.5,125.0,0.0,0.0,8.0,1.0,9.0,61.0,914.0,1085.0,17.78688524590164,7.12,18.0,0.0,1.0,100.0
Jamie Overton,England,Bowler,9.0,2.0,54.0,52.0,27.0,103.85,0.0,0.0,4.0,1.0,19.0,18.0,205.0,273.0,15.166666666666666,7.99,6.0,0.0,0.0,81.81818181818181
Ben Dwarshuis,Australia,Bowler,9.0,2.0,50.0,68.0,25.0,73.53,0.0,0.0,2.0,1.0,17.0,22.0,302.0,466.0,21.181818181818183,9.26,1.0,0.0,0.0,88.0
Sean Abbott,Australia,Bowler,12.0,2.0,50.0,50.0,25.0,100.0,0.0,0.0,4.0,1.0,13.0,36.0,568.0,837.0,23.25,8.84,17.0,0.0,0.0,80.0
Hasan Mahmud,Bangladesh,Bowler,9.0,2.0,50.0,52.0,25.0,96.15,0.0,0.0,0.0,4.0,26.0,29.0,537.0,687.0,23.689655172413794,7.68,8.0,0.0,0.0,100.0
Blessing Muzarabani,Zimbabwe,Bowler,21.0,2.0,48.0,66.0,24.0,72.73,0.0,0.0,6.0,1.0,9.0,79.0,1554.0,1784.0,22.582278481012658,6.89,10.0,0.0,1.0,77.41935483870968
Harshit Rana,India,Batter,2.0,1.0,48.0,43.0,48.0,111.63,0.0,0.0,3.0,2.0,35.0,5.0,80.0,140.0,28.0,10.5,2.0,0.0,0.0,100.0
Lungi Ngidi,South Africa,Bowler,15.0,2.0,48.0,57.0,24.0,84.21,0.0,0.0,4.0,1.0,13.0,74.0,1103.0,1594.0,21.54054054054054,8.67,8.0,0.0,1.0,77.77777777777779
Kuldeep Yadav,India,Bowler,8.0,2.0,47.0,71.0,23.5,66.2,0.0,0.0,2.0,0.0,23.0,86.0,1014.0,1138.0,13.232558139534884,6.73,12.0,0.0,0.0,100.0
Arafat Minhas,Pakistan,Batter,2.0,1.0,47.0,43.0,47.0,109.3,0.0,0.0,4.0,2.0,25.0,2.0,56.0,56.0,28.0,6.0,1.0,0.0,0.0,100.0
Kaleem Sana,Canada,Bowler,8.0,2.0,46.0,51.0,23.0,90.2,0.0,0.0,1.0,3.0,13.0,66.0,878.0,866.0,13.121212121212121,5.92,9.0,0.0,1.0,100.0
Fred Klaassen,Netherlands,Bowler,14.0,2.0,45.0,54.0,22.5,83.33,0.0,0.0,2.0,0.0,13.0,45.0,850.0,1055.0,23.444444444444443,7.45,15.0,0.0,1.0,83.33333333333334
Naseem Shah,Pakistan,Bowler,10.0,2.0,44.0,45.0,22.0,97.78,0.0,0.0,6.0,1.0,16.0,28.0,649.0,859.0,30.678571428571427,7.94,2.0,0.0,0.0,100.0
Gajanand Singh,United States of America,Batter,10.0,2.0,44.0,47.0,22.0,93.62,0.0,0.0,4.0,1.0,13.0,8.0,302.0,408.0,51.0,8.11,9.0,0.0,0.0,75.86206896551724
Binura Fernando,Sri Lanka,Bowler,7.0,2.0,43.0,49.0,21.5,87.76,0.0,0.0,3.0,1.0,20.0,24.0,497.0,666.0,27.75,8.04,1.0,0.0,1.0,80.0
Brad Evans,Zimbabwe,Bowler,7.0,2.0,43.0,46.0,21.5,93.48,0.0,0.0,1.0,1.0,19.0,27.0,348.0,442.0,16.37037037037037,7.62,7.0,0.0,0.0,82.35294117647058
Saurabh Netravalkar,United States of America,Bowler,10.0,2.0,42.0,49.0,21.0,85.71,0.0,0.0,2.0,1.0,12.0,40.0,817.0,949.0,23.725,6.97,7.0,0.0,0.0,78.78787878787878
Tony de Zorzi,South Africa,Batter,2.0,1.0,40.0,28.0,40.0,142.86,0.0,0.0,5.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.95652173913044
Haseebullah Khan,Pakistan,Batter,3.0,2.0,36.0,30.0,18.0,120.0,0.0,0.0,4.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0
Saqib Mahmood,England,Bowler,9.0,2.0,35.0,47.0,17.5,74.47,0.0,0.0,2.0,1.0,12.0,22.0,401.0,605.0,27.5,9.05,2.0,0.0,0.0,81.81818181818181
Qasim Akram,Pakistan,Batter,2.0,1.0,32.0,31.0,32.0,103.23,0.0,0.0,5.0,0.0,20.0,2.0,11.0,6.0,3.0,3.27,1.0,0.0,0.0,100.0
Sean Williams,Zimbabwe,Batter,6.0,2.0,32.0,43.0,16.0,74.42,0.0,0.0,3.0,0.0,22.0,6.0,175.0,162.0,27.0,5.55,1.0,0.0,0.0,86.95652173913044
Janith Liyanage,Sri Lanka,Batter,4.0,2.0,30.0,47.0,15.0,63.83,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,80.0
Jahandad Khan,Pakistan,Batter,5.0,1.0,29.0,34.0,29.0,85.29,0.0,0.0,0.0,2.0,17.0,7.0,111.0,211.0,30.142857142857142,11.41,1.0,0.0,0.0,100.0
Shamar Joseph,West Indies,Bowler,3.0,1.0,28.0,19.0,28.0,147.37,0.0,0.0,2.0,2.0,21.0,15.0,260.0,390.0,26.0,9.0,4.0,0.0,0.0,76.19047619047619
Avesh Khan,India,Bowler,5.0,2.0,27.0,20.0,13.5,135.0,0.0,0.0,3.0,1.0,16.0,28.0,497.0,720.0,25.714285714285715,8.69,9.0,0.0,0.0,100.0
Bilal Khan,Oman,Bowler,18.0,2.0,27.0,50.0,13.5,54.0,0.0,0.0,1.0,0.0,6.0,106.0,1524.0,1738.0,16.39622641509434,6.84,8.0,0.0,0.0,100.0
Mark Wood,England,Bowler,7.0,2.0,27.0,28.0,13.5,96.43,0.0,0.0,2.0,0.0,10.0,57.0,793.0,1099.0,19.280701754385966,8.32,3.0,0.0,0.0,75.0
Fionn Hand,Ireland,Batter,8.0,2.0,27.0,29.0,13.5,93.1,0.0,0.0,4.0,0.0,9.0,5.0,153.0,236.0,47.2,9.25,2.0,0.0,0.0,75.0
Henry Ssenyondo,Uganda,Bowler,13.0,2.0,25.0,51.0,12.5,49.02,0.0,0.0,0.0,0.0,5.0,105.0,1635.0,1484.0,14.133333333333333,5.45,6.0,0.0,0.0,84.61538461538461
Senuran Muthusamy,South Africa,Batter,5.0,2.0,24.0,23.0,12.0,104.35,0.0,0.0,2.0,1.0,9.0,5.0,109.0,128.0,25.6,7.05,2.0,0.0,0.0,78.57142857142857
Josh Hazlewood,Australia,Bowler,9.0,2.0,24.0,23.0,12.0,104.35,0.0,0.0,2.0,1.0,13.0,79.0,1343.0,1659.0,21.0,7.41,10.0,0.0,0.0,84.61538461538461
Navin Bidaisee,West Indies,Batter,2.0,1.0,24.0,32.0,24.0,75.0,0.0,0.0,1.0,1.0,22.0,3.0,53.0,62.0,20.666666666666668,7.02,2.0,0.0,0.0,83.33333333333334
Mohammad Hasnain,Pakistan,Bowler,7.0,2.0,24.0,26.0,12.0,92.31,0.0,0.0,2.0,1.0,8.0,28.0,622.0,868.0,31.0,8.37,1.0,0.0,0.0,100.0
Mehidy Hasan,Bangladesh,Batter,4.0,2.0,23.0,34.0,11.5,67.65,0.0,0.0,0.0,1.0,9.0,6.0,78.0,101.0,16.833333333333332,7.77,1.0,0.0,0.0,76.92307692307692
