full_name,team,role,matches_played,innings_batted,runs,balls_faced,batting_average,strike_rate,fifties,hundreds,fours,sixes,highest_score,wickets,balls_bowled,runs_conceded,bowling_average,economy,catches,stumpings,run_outs,confidence
Ben Sears,New Zealand,Bowler,7.0,2.0,21.0,29.0,10.5,72.41,0.0,0.0,2.0,0.0,7.0,24.0,407.0,584.0,24.333333333333332,8.61,3.0,0.0,0.0,82.35294117647058
Ben White,Ireland,Bowler,7.0,2.0,21.0,42.0,10.5,50.0,0.0,0.0,1.0,0.0,7.0,30.0,645.0,908.0,30.266666666666666,8.45,6.0,0.0,0.0,87.5
Jitesh Sharma,India,Batter,4.0,2.0,20.0,58.0,10.0,34.48,0.0,0.0,3.0,0.0,15.0,3.0,56.0,78.0,26.0,8.36,0.0,0.0,0.0,76.92307692307692
Kwena Maphaka,South Africa,Bowler,6.0,2.0,19.0,24.0,9.5,79.17,0.0,0.0,2.0,0.0,12.0,15.0,283.0,420.0,28.0,8.9,6.0,0.0,0.0,78.26086956521739
Matt Henry,New Zealand,Bowler,7.0,2.0,18.0,21.0,9.0,85.71,0.0,0.0,2.0,0.0,10.0,41.0,638.0,879.0,21.4390243902439,8.27,9.0,0.0,1.0,77.77777777777779
Sufiyan Muqeem,Pakistan,Bowler,7.0,2.0,18.0,17.0,9.0,105.88,0.0,0.0,2.0,0.0,10.0,25.0,303.0,314.0,12.56,6.22,3.0,0.0,0.0,100.0
Xavier Bartlett,Australia,Bowler,7.0,2.0,18.0,28.0,9.0,64.29,0.0,0.0,2.0,0.0,9.0,21.0,310.0,389.0,18.523809523809526,7.53,8.0,0.0,0.0,76.92307692307692
Ahmed Daniyal,Pakistan,Batter,1.0,1.0,17.0,11.0,17.0,154.55,0.0,0.0,3.0,0.0,17.0,3.0,44.0,40.0,13.333333333333334,5.45,1.0,0.0,0.0,100.0
Tangeni Lungameni,Namibia,Bowler,4.0,2.0,16.0,11.0,8.0,145.45,0.0,0.0,3.0,0.0,12.0,31.0,771.0,938.0,30.258064516129032,7.3,9.0,0.0,0.0,78.57142857142857
Liam McCarthy,Ireland,Batter,1.0,1.0,16.0,15.0,16.0,106.67,0.0,0.0,1.0,1.0,16.0,0.0,26.0,81.0,0.0,18.69,0.0,0.0,0.0,86.95652173913044
Ramandeep Singh,India,Batter,1.0,1.0,15.0,6.0,15.0,250.0,0.0,0.0,1.0,1.0,15.0,1.0,23.0,42.0,42.0,10.96,1.0,0.0,0.0,100.0
Nahid Rana,Bangladesh,Batter,2.0,1.0,15.0,30.0,15.0,50.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
Ali Khan,United States of America,Bowler,5.0,2.0,15.0,12.0,7.5,125.0,0.0,0.0,1.0,1.0,14.0,18.0,401.0,568.0,31.555555555555557,8.5,2.0,0.0,0.0,100.0
Mohammed Siraj,India,Bowler,4.0,2.0,14.0,16.0,7.0,87.5,0.0,0.0,1.0,0.0,7.0,15.0,363.0,461.0,30.733333333333334,7.62,6.0,0.0,2.0,100.0
Chamindu Wickramasinghe,Sri Lanka,Batter,3.0,2.0,14.0,11.0,7.0,127.27,0.0,0.0,2.0,0.0,6.0,1.0,43.0,55.0,55.0,7.67,2.0,0.0,0.0,82.05128205128204
John Kariko,Papua New Guinea,Bowler,6.0,2.0,14.0,24.0,7.0,58.33,0.0,0.0,0.0,1.0,9.0,26.0,412.0,368.0,14.153846153846153,5.36,6.0,0.0,0.0,84.21052631578947
Lizaad Williams,South Africa,Bowler,10.0,2.0,14.0,26.0,7.0,53.85,0.0,0.0,0.0,0.0,5.0,25.0,409.0,634.0,25.36,9.3,5.0,0.0,0.0,76.92307692307692
Tanvir Islam,Bangladesh,Batter,3.0,1.0,12.0,17.0,12.0,70.59,0.0,0.0,1.0,0.0,8.0,4.0,103.0,140.0,35.0,8.16,1.0,0.0,0.0,100.0
Alex Carey,Australia,Batter,2.0,1.0,12.0,23.0,12.0,52.17,0.0,0.0,0.0,0.0,6.0,1.0,19.0,12.0,12.0,3.79,0.0,0.0,0.0,81.81818181818181
Dhruv Jurel,India,Batter,3.0,1.0,12.0,23.0,12.0,52.17,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,100.0
Dunith Wellalage,Sri Lanka,Batter,2.0,1.0,12.0,16.0,12.0,75.0,0.0,0.0,1.0,1.0,11.0,6.0,119.0,137.0,22.833333333333332,6.91,3.0,0.0,0.0,78.57142857142857
Nandre Burger,South Africa,Batter,3.0,2.0,10.0,21.0,5.0,47.62,0.0,0.0,0.0,0.0,9.0,6.0,188.0,251.0,41.833333333333336,8.01,2.0,0.0,0.0,76.19047619047619
Hasan Ali,Pakistan,Batter,1.0,1.0,10.0,7.0,10.0,142.86,0.0,0.0,0.0,1.0,10.0,7.0,96.0,75.0,10.714285714285714,4.69,1.0,0.0,0.0,100.0
Lalit Rajbanshi,Nepal,Bowler,5.0,2.0,8.0,17.0,4.0,47.06,0.0,0.0,0.0,0.0,3.0,40.0,751.0,798.0,19.95,6.38,6.0,0.0,0.0,81.4814814814815
Dan Mousley,England,Batter,1.0,1.0,8.0,6.0,8.0,133.33,0.0,0.0,0.0,1.0,8.0,2.0,55.0,83.0,41.5,9.05,4.0,0.0,0.0,85.71428571428572
Matthew Humphreys,Ireland,Batter,2.0,1.0,7.0,6.0,7.0,116.67,0.0,0.0,1.0,0.0,7.0,8.0,160.0,183.0,22.875,6.86,1.0,0.0,0.0,75.86206896551724
Pratis GC,Nepal,Batter,5.0,2.0,7.0,11.0,3.5,63.64,0.0,0.0,0.0,0.0,6.0,8.0,211.0,289.0,36.125,8.22,2.0,0.0,0.0,100.0
Mukesh Kumar,India,Bowler,3.0,2.0,5.0,5.0,2.5,100.0,0.0,0.0,1.0,0.0,4.0,19.0,283.0,393.0,20.68421052631579,8.33,2.0,0.0,0.0,100.0
Abrar Ahmed,Pakistan,Bowler,4.0,2.0,4.0,12.0,2.0,33.33,0.0,0.0,0.0,0.0,2.0,29.0,512.0,587.0,20.24137931034483,6.88,6.0,0.0,0.0,100.0
Hamza Tahir,Scotland,Bowler,2.0,2.0,3.0,7.0,1.5,42.86,0.0,0.0,0.0,0.0,3.0,22.0,351.0,485.0,22.045454545454547,8.29,4.0,0.0,0.0,100.0
Nuwan Thushara,Sri Lanka,Bowler,6.0,2.0,3.0,12.0,1.5,25.0,0.0,0.0,0.0,0.0,2.0,32.0,536.0,694.0,21.6875,7.77,2.0,0.0,0.0,83.33333333333334
Salman Mirza,Pakistan,Bowler,2.0,1.0,3.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,3.0,13.0,174.0,165.0,12.692307692307692,5.69,0.0,0.0,0.0,100.0
Axar Patel,India,Batter,2.0,1.0,2.0,7.0,2.0,28.57,0.0,0.0,0.0,0.0,1.0,3.0,44.0,54.0,18.0,7.36,0.0,0.0,0.0,81.81818181818181
Mitchell Owen,Australia,Batter,2.0,2.0,2.0,5.0,1.0,40.0,0.0,0.0,0.0,0.0,1.0,3.0,104.0,148.0,49.333333333333336,8.54,1.0,0.0,0.0,75.0
Mohammad Ali,Pakistan,Batter,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,44.0,87.0,87.0,11.86,0.0,0.0,0.0,100.0
Ben Shikongo,Namibia,Bowler,3.0,2.0,1.0,6.0,0.5,16.67,0.0,0.0,0.0,0.0,1.0,40.0,674.0,731.0,18.275,6.51,11.0,0.0,0.0,90.9090909090909
