player_name,venue,matches_x,runs,balls_x,fours,sixes,dismissals,strike_rate,avg,matches_y,balls_y,runs_conceded,wickets,economy,bowling_avg,city,country
AA Navicha,"Gymkhana Club Ground, Nairobi",1.0,2.0,2.0,0.0,0.0,2.0,100.0,1.0,,,,,0.0,0.0,Nairobi,
AA Obanda,Dubai International Cricket Stadium,1.0,10.0,5.0,2.0,0.0,5.0,200.0,2.0,,,,,0.0,0.0,,
AA Obanda,"Gymkhana Club Ground, Nairobi",4.0,20.0,28.0,2.0,1.0,28.0,71.43,0.71,,,,,0.0,0.0,Nairobi,
AA Obanda,ICC Academy Ground No 2,1.0,2.0,4.0,0.0,0.0,4.0,50.0,0.5,,,,,0.0,0.0,Dubai,
AA Obanda,Mombasa Sports Club Ground,1.0,2.0,4.0,0.0,0.0,4.0,50.0,0.5,,,,,0.0,0.0,,
AA Onikoyi,Sheikh Zayed Stadium,1.0,1.0,3.0,0.0,0.0,3.0,33.33,0.33,,,,,0.0,0.0,Abu Dhabi,
AA Onikoyi,Tolerance Oval,1.0,5.0,12.0,0.0,0.0,12.0,41.67,0.42,,,,,0.0,0.0,Abu Dhabi,
AAP Atkinson,"Eden Gardens, Kolkata",1.0,1.0,5.0,0.0,0.0,5.0,20.0,0.2,1.0,6.0,16.0,6.0,16.0,2.67,Kolkata,
AB de Villiers,Mangaung Oval,1.0,12.0,6.0,2.0,0.0,6.0,200.0,2.0,,,,,0.0,0.0,Bloemfontein,
AB de Villiers,Senwes Park,1.0,3.0,4.0,0.0,0.0,4.0,75.0,0.75,,,,,0.0,0.0,Potchefstroom,
AB de Villiers,Shere Bangla National Stadium,1.0,20.0,11.0,4.0,0.0,11.0,181.82,1.82,,,,,0.0,0.0,Mirpur,
AC Agar,Harare Sports Club,1.0,7.0,7.0,1.0,0.0,7.0,100.0,1.0,3.0,28.0,46.0,28.0,9.86,1.64,,
AC Agar,Manuka Oval,,0.0,,0.0,0.0,0.0,,,1.0,16.0,16.0,16.0,6.0,1.0,Canberra,
AC Agar,Perth Stadium,,0.0,,0.0,0.0,0.0,,,1.0,7.0,7.0,7.0,6.0,1.0,Perth,
AC Agar,Sheikh Zayed Stadium,1.0,17.0,20.0,2.0,0.0,20.0,85.0,0.85,1.0,6.0,8.0,6.0,8.0,1.33,Abu Dhabi,
AC Agar,"Shere Bangla National Stadium, Mirpur",4.0,25.0,37.0,1.0,1.0,37.0,67.57,0.68,5.0,63.0,71.0,63.0,6.76,1.13,Dhaka,
AC Agar,Sydney Cricket Ground,,0.0,,0.0,0.0,0.0,,,1.0,17.0,22.0,17.0,7.76,1.29,,
AC Douglas,Dubai International Cricket Stadium,1.0,3.0,4.0,0.0,0.0,4.0,75.0,0.75,,,,,0.0,0.0,,
AC Douglas,"Jimmy Powell Oval, Cayman Islands",,0.0,,0.0,0.0,0.0,,,1.0,9.0,7.0,9.0,4.67,0.78,George Town,
AC Douglas,"National Stadium, Hamilton",1.0,13.0,7.0,1.0,1.0,7.0,185.71,1.86,,,,,0.0,0.0,Hamilton,
AC Douglas,"Sir Vivian Richards Stadium, North Sound, Antigua",,0.0,,0.0,0.0,0.0,,,1.0,3.0,8.0,3.0,16.0,2.67,North Sound,
AC Douglas,"White Hill Field, Sandys Parish",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,15.0,9.0,10.0,1.67,Hamilton,
AC Evans,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),,0.0,,0.0,0.0,0.0,,,2.0,17.0,16.0,17.0,5.65,0.94,Al Amarat,
AC Evans,Dubai International Cricket Stadium,,0.0,,0.0,0.0,0.0,,,1.0,3.0,11.0,3.0,22.0,3.67,,
AC Evans,"Grange Cricket Club, Raeburn Place",1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,19.0,24.0,19.0,7.58,1.26,Edinburgh,
AC Evans,ICC Academy,,0.0,,0.0,0.0,0.0,,,1.0,10.0,8.0,10.0,4.8,0.8,Dubai,
AC Evans,"The Village, Malahide",,0.0,,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,6.0,1.0,Dublin,
AC Evans,"Vidarbha Cricket Association Stadium, Jamtha",,0.0,,0.0,0.0,0.0,,,1.0,1.0,0.0,1.0,0.0,0.0,Nagpur,
AD Dore,"Jimmy Powell Oval, Cayman Islands",2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,0.0,George Town,
