id,player_full_name,team,role,matches_played,innings_batted,runs,balls_faced,batting_average,strike_rate,fifties,hundreds,fours,sixes,highest_score,wickets,balls_bowled,runs_conceded,bowling_average,economy,five_wicket_hauls,catches,stumpings,run_outs,dismissal_breakdown
227,Mohammad Haris,Pakistan,Batter,28.0,2.0,515.0,374.0,257.5,137.7,0.0,1.0,45.0,26.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,1.0,"{'bowled': 4, 'caught': 17, 'caught and bowled': 1, 'lbw': 3, 'run out': 1}"
228,Mohammad Hasnain,Pakistan,Bowler,7.0,2.0,24.0,26.0,12.0,92.31,0.0,0.0,2.0,1.0,8.0,622.0,622.0,868.0,1.3954983922829582,8.37,26.0,1.0,0.0,0.0,{'caught': 1}
229,Mohammad Nadeem,Oman,All-rounder,42.0,2.0,700.0,687.0,350.0,101.89,1.0,0.0,42.0,19.0,77.0,815.0,815.0,1037.0,1.2723926380368098,7.63,52.0,18.0,0.0,1.0,"{'bowled': 5, 'caught': 18, 'lbw': 4, 'run out': 4}"
230,Mohammad Naim,Bangladesh,Batter,35.0,2.0,839.0,827.0,419.5,101.45,1.0,0.0,74.0,18.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,"{'bowled': 6, 'caught': 23, 'caught and bowled': 2, 'lbw': 1, 'run out': 1}"
231,Mohammad Nawaz,Pakistan,All-rounder,43.0,2.0,650.0,481.0,325.0,135.14,0.0,0.0,53.0,35.0,45.0,882.0,882.0,1099.0,1.246031746031746,7.48,46.0,24.0,0.0,0.0,"{'bowled': 2, 'caught': 24, 'lbw': 2, 'run out': 5}"
232,Mohammad Rizwan,Pakistan,Batter,91.0,2.0,3386.0,2766.0,1693.0,122.42,0.0,1.0,284.0,94.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,12.0,8.0,"{'bowled': 14, 'caught': 41, 'caught and bowled': 2, 'lbw': 5, 'retired hurt': 1, 'run out': 5, 'stumped': 3}"
233,Mohammad Saifuddin,Bangladesh,Bowler,21.0,2.0,249.0,231.0,124.5,107.79,0.0,0.0,19.0,9.0,39.0,854.0,854.0,1206.0,1.4121779859484778,8.47,39.0,10.0,0.0,0.0,"{'caught': 8, 'lbw': 1, 'run out': 2}"
234,Mohammed Siraj,India,Bowler,4.0,2.0,14.0,16.0,7.0,87.5,0.0,0.0,1.0,0.0,7.0,363.0,363.0,461.0,1.2699724517906337,7.62,16.0,6.0,0.0,2.0,"{'caught': 1, 'run out': 1}"
235,Mukesh Kumar,India,Bowler,3.0,2.0,5.0,5.0,2.5,100.0,0.0,0.0,1.0,0.0,4.0,283.0,283.0,393.0,1.3886925795053005,8.33,14.0,2.0,0.0,0.0,{'bowled': 1}
236,Mustafizur Rahman,Bangladesh,Bowler,31.0,2.0,89.0,134.0,44.5,66.42,0.0,0.0,4.0,4.0,11.0,2556.0,2556.0,3030.0,1.1854460093896713,7.11,111.0,23.0,0.0,0.0,"{'bowled': 7, 'caught': 8, 'run out': 3}"
237,Navin Bidaisee,West Indies,Bowler,2.0,1.0,24.0,32.0,24.0,75.0,0.0,0.0,1.0,1.0,22.0,53.0,53.0,62.0,1.169811320754717,7.02,3.0,2.0,0.0,0.0,"{'caught': 1, 'hit wicket': 1}"
238,Nandre Burger,South Africa,Bowler,3.0,2.0,10.0,21.0,5.0,47.62,0.0,0.0,0.0,0.0,9.0,188.0,188.0,251.0,1.3351063829787233,8.01,8.0,2.0,0.0,0.0,"{'bowled': 1, 'lbw': 1}"
239,Nikhil Dutta,Canada,Bowler,7.0,2.0,80.0,53.0,40.0,150.94,0.0,0.0,5.0,5.0,27.0,473.0,473.0,507.0,1.0718816067653276,6.43,24.0,4.0,0.0,0.0,"{'bowled': 1, 'caught': 1, 'run out': 1}"
240,Nqabayomzi Peter,South Africa,Bowler,5.0,2.0,29.0,25.0,14.5,116.0,0.0,0.0,3.0,0.0,10.0,220.0,220.0,333.0,1.5136363636363637,9.08,12.0,3.0,0.0,1.0,"{'caught': 1, 'lbw': 1}"
241,Nicholas Pooran,West Indies,Batter,96.0,2.0,2177.0,1694.0,1088.5,128.51,1.0,0.0,146.0,141.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,8.0,2.0,"{'bowled': 11, 'caught': 61, 'caught and bowled': 4, 'lbw': 5, 'run out': 2, 'stumped': 3}"
242,Nahid Rana,Bangladesh,Batter,2.0,1.0,15.0,30.0,15.0,50.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'caught': 1, 'caught and bowled': 1}"
