player_name,opponent_team,matches_bat,runs,balls_bat,fours,sixes,dismissals,strike_rate,avg_bat,matches_bowl,balls_bowl,runs_conceded,wickets,economy,avg_bowl
Agha Salman,India,2.0,8.0,7.0,0.0,1.0,7.0,114.29,1.14,0.0,0.0,0.0,0.0,0.0,0.0
Agha Salman,Zimbabwe,2.0,10.0,16.0,1.0,0.0,16.0,62.5,0.62,1.0,2.0,2.0,2.0,6.0,1.0
Ahmed Daniyal,Bangladesh,1.0,17.0,11.0,3.0,0.0,11.0,154.55,1.55,2.0,44.0,40.0,44.0,5.45,0.91
Ali Khan,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,59.0,40.0,8.85,1.48
Ali Khan,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,14.0,10.0,8.4,1.4
Ali Khan,Nepal,1.0,1.0,1.0,0.0,0.0,1.0,100.0,1.0,2.0,7.0,14.0,7.0,12.0,2.0
Ali Khan,Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,6.0,1.0
Ali Khan,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,23.0,21.0,6.57,1.1
Aqib Ilyas,Bangladesh,1.0,6.0,7.0,1.0,0.0,7.0,85.71,0.86,1.0,5.0,4.0,5.0,4.8,0.8
Aqib Ilyas,Canada,2.0,35.0,36.0,4.0,1.0,36.0,97.22,0.97,2.0,8.0,4.0,8.0,3.0,0.5
Aqib Ilyas,Namibia,1.0,10.0,6.0,1.0,0.0,6.0,166.67,1.67,2.0,11.0,13.0,11.0,7.09,1.18
Aqib Ilyas,Nepal,4.0,19.0,21.0,0.0,1.0,21.0,90.48,0.9,4.0,25.0,26.0,25.0,6.24,1.04
Arafat Minhas,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,3.0,12.0,2.0
Arafat Minhas,Zimbabwe,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0
Arshdeep Singh,Bangladesh,1.0,6.0,2.0,0.0,1.0,2.0,300.0,3.0,5.0,77.0,98.0,77.0,7.64,1.27
Arshdeep Singh,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,5.0,9.6,1.6
Arshdeep Singh,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,6.0,1.0
Arshdeep Singh,New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,4.0,10.5,1.75
Arshdeep Singh,Pakistan,1.0,2.0,5.0,0.0,0.0,5.0,40.0,0.4,4.0,74.0,96.0,74.0,7.78,1.3
Arshdeep Singh,United States of America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,8.0,1.5,0.25
Avesh Khan,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0
Avesh Khan,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,26.0,15.0,10.4,1.73
Avesh Khan,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,18.0,11.0,9.82,1.64
Avesh Khan,Zimbabwe,1.0,2.0,4.0,0.0,0.0,4.0,50.0,0.5,3.0,19.0,24.0,19.0,7.58,1.26
Babar Azam,Bangladesh,7.0,150.0,140.0,22.0,1.0,140.0,107.14,1.07,0.0,0.0,0.0,0.0,0.0,0.0
Babar Azam,Canada,1.0,17.0,14.0,1.0,0.0,14.0,121.43,1.21,0.0,0.0,0.0,0.0,0.0,0.0
Babar Azam,India,4.0,16.0,19.0,2.0,0.0,19.0,84.21,0.84,0.0,0.0,0.0,0.0,0.0,0.0
Babar Azam,Ireland,1.0,3.0,3.0,0.0,0.0,3.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Babar Azam,Namibia,1.0,8.0,7.0,1.0,0.0,7.0,114.29,1.14,0.0,0.0,0.0,0.0,0.0,0.0
Babar Azam,New Zealand,8.0,41.0,35.0,5.0,1.0,35.0,117.14,1.17,0.0,0.0,0.0,0.0,0.0,0.0
Babar Azam,Scotland,1.0,10.0,7.0,0.0,1.0,7.0,142.86,1.43,0.0,0.0,0.0,0.0,0.0,0.0
Babar Azam,United States of America,1.0,20.0,18.0,1.0,1.0,18.0,111.11,1.11,0.0,0.0,0.0,0.0,0.0,0.0
Babar Azam,Zimbabwe,2.0,25.0,15.0,3.0,1.0,15.0,166.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0
Bilal Khan,Bangladesh,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,32.0,26.0,32.0,4.88,0.81
Bilal Khan,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,22.0,17.0,7.76,1.29
Bilal Khan,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,6.0,1.0
Bilal Khan,Namibia,1.0,1.0,3.0,0.0,0.0,3.0,33.33,0.33,4.0,35.0,46.0,35.0,7.89,1.31
Bilal Khan,Nepal,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,47.0,39.0,47.0,4.98,0.83
Faheem Ashraf,Bangladesh,6.0,86.0,63.0,6.0,5.0,63.0,136.51,1.37,7.0,110.0,144.0,110.0,7.85,1.31
Faheem Ashraf,India,2.0,6.0,9.0,1.0,0.0,9.0,66.67,0.67,2.0,33.0,46.0,33.0,8.36,1.39
Faheem Ashraf,New Zealand,3.0,25.0,15.0,2.0,2.0,15.0,166.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0
Faheem Ashraf,Oman,1.0,8.0,4.0,1.0,0.0,4.0,200.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0
Faheem Ashraf,Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,5.0,2.4,0.4
Fakhar Zaman,Bangladesh,6.0,135.0,132.0,14.0,4.0,132.0,102.27,1.02,0.0,0.0,0.0,0.0,0.0,0.0
Fakhar Zaman,India,5.0,30.0,28.0,2.0,1.0,28.0,107.14,1.07,0.0,0.0,0.0,0.0,0.0,0.0
Fakhar Zaman,New Zealand,4.0,30.0,22.0,3.0,2.0,22.0,136.36,1.36,0.0,0.0,0.0,0.0,0.0,0.0
Fakhar Zaman,Oman,1.0,4.0,5.0,0.0,0.0,5.0,80.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Fakhar Zaman,Scotland,2.0,12.0,7.0,1.0,1.0,7.0,171.43,1.71,0.0,0.0,0.0,0.0,0.0,0.0
Fakhar Zaman,United States of America,1.0,3.0,3.0,0.0,0.0,3.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fayyaz Butt,Bangladesh,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,14.0,17.0,14.0,7.29,1.21
Fayyaz Butt,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,11.0,12.0,5.5,0.92
Fayyaz Butt,Namibia,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,14.0,21.0,14.0,9.0,1.5
